,CodArticu,PrecioCosto,ArticuloPatron,PrecioUnitario
0,10001,3532.0,CALENTADOR.EVERS    ,3532.0
1,10002,3684.0,CALENTADOR.EVERS    ,3684.0
2,1001,62.2725,DESTAPA.CAÑERIAS    ,62.2725
3,10011,3517.0,ESTUFA.CUARZO       ,3517.0
4,10013,785.85,CORTA.VIDRIO        ,785.85
5,10014,43.5,CORTA.VIDRIO        ,43.5
6,10015,662.95,CORTA.VIDRIO        ,662.95
7,10017,3596.9907,CORTA.VIDRIO        ,3596.9907
8,1002,38.7,QUITA.SARRO         ,38.7
9,1003,51.2808,LIMPIA.RESTOMAT.    ,51.2808
10,10031,70.725,CONVERTIDOR.FOSFATIZ,70.725
11,10032,43.2,CONVERTIDOR.FOSFATIZ,43.2
12,1004,40.725,DESTAPA.CAÑERIAS    ,40.725
13,1005,66.525,DESTAPA.CAÑERIAS    ,66.525
14,1006,52.6699,LIMPIADOR.UNIVERSAL ,52.6699
15,10061,34.3222,LIMPIADOR.UNIVERSAL ,34.3222
16,100610,184.5,LIMPIADOR.UNIVERSAL ,184.5
17,1008,38.9325,DESTAPA.CAÑERIAS    ,38.9325
18,1010,2700.0,PALA.MOISES         ,2700.0
19,101000,494.144,LUBRICANTE.MECANIC  ,494.144
20,101001,664.713,LUBRICANTE.MECANIC  ,664.713
21,101002,582.554,AFLOJA.TUERCA.MECANI,582.554
22,101003,775.404,AFLOJA.TUERCA.MECANI,775.404
23,101004,633.458,LUBRICANTE.MECANIC  ,633.458
24,101005,603.253,ANTIDESLIZANTE.MECAN,603.253
25,101006,772.569,ANTIDESLIZANTE.MECAN,772.569
26,101007,578.256,LUBRICANTE.MECANIC  ,578.256
27,101008,773.059,LUBRICANTE.MECANIC  ,773.059
28,101009,587.307,GRASA.MECANIC.50    ,587.307
29,10101,26.985,CARBURO             ,26.985
30,101010,641.844,GRASA.MECANIC.50    ,641.844
31,101011,662.669,GRASA.MECANIC.50    ,662.669
32,10104,6363.0234,PALA.PB             ,6363.0234
33,10105,4380.7197,PALA.PB             ,4380.7197
34,10106,4380.7197,PALA.PB             ,4380.7197
35,1011,2700.0,PALA.MOISES         ,2700.0
36,101130,279.1816,LIJA.TELA.ESMERIL   ,279.1816
37,101131,279.1816,LIJA.TELA.ESMERIL   ,279.1816
38,101132,279.1816,LIJA.TELA.ESMERIL   ,279.1816
39,101133,279.1816,LIJA.TELA.ESMERIL   ,279.1816
40,101134,279.1816,LIJA.TELA.ESMERIL   ,279.1816
41,101135,279.1816,LIJA.TELA.ESMERIL   ,279.1816
42,101136,279.1816,LIJA.TELA.ESMERIL   ,279.1816
43,101137,279.1816,LIJA.TELA.ESMERIL   ,279.1816
44,101138,279.1816,LIJA.TELA.ESMERIL   ,279.1816
45,101139,279.1816,LIJA.TELA.ESMERIL   ,279.1816
46,101140,279.1816,LIJA.TELA.ESMERIL   ,279.1816
47,101141,279.1816,LIJA.TELA.ESMERIL   ,279.1816
48,101142,279.1816,LIJA.TELA.ESMERIL   ,279.1816
49,10115,4380.7197,PALA.PB             ,4380.7197
50,1012,2700.0,PALA.MOISES         ,2700.0
51,10121,7.5,ESTOPA              ,7.5
52,10124,12906.2847,PALA.PB             ,12906.2847
53,10125,4380.7197,PALA.PB             ,4380.7197
54,1014,3078.0,PALA.MOISES         ,3078.0
55,10140,7889.682,HORQUILLA.PB        ,7889.682
56,101401,851.242,DESMOLDANTE.MECANI  ,851.242
57,101402,960.911,ANTIADHERENTE.MECANI,960.911
58,101450,647.773,LUBRICANTE.MECANIC  ,647.773
59,1015,3078.0,PALA.MOISES         ,3078.0
60,101500,219.31,LUBRICANTE.MECANIC  ,219.31
61,101503,333.921,LUBRICANTE.MECANIC  ,333.921
62,101510,249.69,GRASA.MECANIC.50    ,249.69
63,101511,480.48,GRASA.MECANIC.50    ,480.48
64,101520,295.75,GRASA.MECANIC.50    ,295.75
65,101521,595.63,GRASA.MECANIC.50    ,595.63
66,101530,269.29,GRASA.MECANIC.50    ,269.29
67,101531,529.48,GRASA.MECANIC.50    ,529.48
68,101540,249.69,GRASA.MECANIC.50    ,249.69
69,101541,480.48,GRASA.MECANIC.50    ,480.48
70,101550,231.658,GRASA.MECANIC.50    ,231.658
71,101551,435.4,GRASA.MECANIC.50    ,435.4
72,1016,3078.0,PALA.MOISES         ,3078.0
73,101600,530.411,GEL.LIMPIADOR.MECAN ,530.411
74,101601,780.031,GEL.LIMPIADOR.MECAN ,780.031
75,101630,603.134,CREMA.LIMPIADORA.MEC,603.134
76,101631,925.463,CREMA.LIMPIADORA.MEC,925.463
77,10210,480.36,LLANA.DENTADA.FIELTR,480.36
78,10211,480.36,LLANA.DENTADA.FIELTR,480.36
79,102153,8.3144,BURLETE.SEALPRO     ,8.3144
80,102283,20.1924,BURLETE.SEALPRO     ,20.1924
81,10230,360.9662,FRATACHO.GRUESO.FIEL,360.9662
82,10231,360.9662,FRATACHO.GRUESO.FIEL,360.9662
83,102311,4.3298,BURLETE.SEALPRO     ,4.3298
84,102312,4.3298,BURLETE.SEALPRO     ,4.3298
85,102313,4.3298,BURLETE.SEALPRO     ,4.3298
86,102321,4.0503,BURLETE.SEALPRO     ,4.0503
87,102322,4.0503,BURLETE.SEALPRO     ,4.0503
88,102323,4.0503,BURLETE.SEALPRO     ,4.0503
89,10240,308.563,FRATACHO.GOMA.ES.FIE,308.563
90,10241,360.1652,FRATACHO.GOMA.ES.FIE,360.1652
91,10242,420.169,FRATACHO.GOMA.ES.FIE,420.169
92,10251,431.65,BALDE.PLASTICO.NAC  ,431.65
93,10301,819.0,FRATACHO.MADERA.DURA,819.0
94,10302,891.0,FRATACHO.MADERA.DURA,891.0
95,10303,972.0,FRATACHO.MADERA.DURA,972.0
96,10304,1044.0,FRATACHO.MADERA.DURA,1044.0
97,1032,66.963,APLICADOR.CARTUCHO  ,66.963
98,1033,1619.05,APLICADOR.CARTUCHO  ,1619.05
99,1034,1832.8975,APLICADOR.CARTUCHO  ,1832.8975
100,1035,197.3031,APLICADOR.CARTUCHO  ,197.3031
101,1037,3640.35,APLICADOR.SALCHICA  ,3640.35
102,1038,3839.97,APLICADOR.SALCHICA  ,3839.97
103,104420,133.7385,LIJA.AGUA           ,133.7385
104,104421,133.7385,LIJA.AGUA           ,133.7385
105,104422,133.7385,LIJA.AGUA           ,133.7385
106,104423,133.7385,LIJA.AGUA           ,133.7385
107,104424,133.7385,LIJA.AGUA           ,133.7385
108,104425,133.7385,LIJA.AGUA           ,133.7385
109,104426,133.7385,LIJA.AGUA           ,133.7385
110,104427,133.7385,LIJA.AGUA           ,133.7385
111,104428,133.7385,LIJA.AGUA           ,133.7385
112,104429,133.7385,LIJA.AGUA           ,133.7385
113,104430,133.7385,LIJA.AGUA           ,133.7385
114,104431,133.7385,LIJA.AGUA           ,133.7385
115,104432,133.7385,LIJA.AGUA           ,133.7385
116,104433,133.7385,LIJA.AGUA           ,133.7385
117,104434,151.5157,LIJA.CARBURO.SILICIO,151.5157
118,104435,211.0901,LIJA.CARBURO.SILICIO,211.0901
119,104436,211.0901,LIJA.CARBURO.SILICIO,211.0901
120,104437,211.0901,LIJA.CARBURO.SILICIO,211.0901
121,104438,151.5157,LIJA.CARBURO.SILICIO,151.5157
122,104520,130.6941,LIJA.ANTIEMPASTE    ,130.6941
123,104521,130.6941,LIJA.ANTIEMPASTE    ,130.6941
124,104522,130.6941,LIJA.ANTIEMPASTE    ,130.6941
125,104523,130.6941,LIJA.ANTIEMPASTE    ,130.6941
126,104524,130.6941,LIJA.ANTIEMPASTE    ,130.6941
127,104525,130.6941,LIJA.ANTIEMPASTE    ,130.6941
128,104526,130.6941,LIJA.ANTIEMPASTE    ,130.6941
129,104527,130.6941,LIJA.ANTIEMPASTE    ,130.6941
130,104528,130.6941,LIJA.ANTIEMPASTE    ,130.6941
131,104529,130.6941,LIJA.ANTIEMPASTE    ,130.6941
132,104530,130.6941,LIJA.ANTIEMPASTE    ,130.6941
133,10460,2585.0,CABALLETE.MADERA    ,2585.0
134,10461,2260.0,CABALLETE.MADERA    ,2260.0
135,10467,3300.0,ESCALERA.FLIAR      ,3300.0
136,10468,4400.0,ESCALERA.FLIAR      ,4400.0
137,10469,5500.0,ESCALERA.FLIAR      ,5500.0
138,10470,6600.0,ESCALERA.FLIAR      ,6600.0
139,10471,7700.0,ESCALERA.FLIAR      ,7700.0
140,10472,8800.0,ESCALERA.FLIAR      ,8800.0
141,10473,9900.0,ESCALERA.FLIAR      ,9900.0
142,10474,11000.0,ESCALERA.FLIAR      ,11000.0
143,10475,12100.0,ESCALERA.FLIAR      ,12100.0
144,10476,13200.0,ESCALERA.FLIAR      ,13200.0
145,105000820,5.0996,CANDADO.PROLL       ,5.0996
146,105000825,6.0102,CANDADO.PROLL       ,6.0102
147,105000830,7.7859,CANDADO.PROLL       ,7.7859
148,105000840,11.398,CANDADO.PROLL       ,11.398
149,105000850,16.0877,CANDADO.PROLL       ,16.0877
150,105000860,21.9006,CANDADO.PROLL       ,21.9006
151,105001,0.8855,TAPA.ENCHUFE        ,0.8855
152,105001040,20.0354,CANDADO.PROLL       ,20.0354
153,105001050,26.2298,CANDADO.PROLL       ,26.2298
154,105001060,31.9477,CANDADO.PROLL       ,31.9477
155,105001140,21.964,CANDADO.PROLL       ,21.964
156,1050730,39.768,CANDADO.IMPORTADO   ,39.768
157,1050740,50.1274,CANDADO.IMPORTADO   ,50.1274
158,1050750,74.8307,CANDADO.IMPORTADO   ,74.8307
159,1050760,84.1301,CANDADO.IMPORTADO   ,84.1301
